レベル,都道府県名,市区町村名,大字・丁目名,小字・通称名,街区符号・地番,離島ID,行政区域コード,支庁・振興局名,郡・政令都市名,原典市区町村名,指定地域名,島名,住所
街区,長崎県,長崎市,高島町,蛎瀬,99,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町蛎瀬９９
街区,長崎県,長崎市,高島町,蛎瀬,2706,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町蛎瀬２７０６
街区,長崎県,長崎市,高島町,緑ケ丘,859,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町緑ケ丘８５９
街区,長崎県,長崎市,高島町,蛎瀬,98,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町蛎瀬９８
街区,長崎県,長崎市,高島町,,1947,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町１９４７
街区,長崎県,長崎市,高島町,本町,1899,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町本町１８９９
街区,長崎県,長崎市,高島町,,2707,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０７
街区,長崎県,長崎市,高島町,本町,1122,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町本町１１２２
街区,長崎県,長崎市,高島町,,2706,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０６
街区,長崎県,長崎市,高島町,,2707,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０７
街区,長崎県,長崎市,高島町,尾浜,2706,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町尾浜２７０６
街区,長崎県,長崎市,高島町,蛎瀬,1249,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町蛎瀬１２４９
街区,長崎県,長崎市,高島町,百万,1727,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町百万１７２７
街区,長崎県,長崎市,高島町,百万,1728,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町百万１７２８
街区,長崎県,長崎市,高島町,光町,2707,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町光町２７０７
街区,長崎県,長崎市,高島町,,2707,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０７
街区,長崎県,長崎市,高島町,百万,2706,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町百万２７０６
街区,長崎県,長崎市,高島町,,2709,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０９
街区,長崎県,長崎市,高島町,,2706,42002,42201,,,長崎市,高島,高島,長崎県長崎市高島町２７０６
街区,長崎県,佐世保市,宇久町本飯良,,877,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８７７
街区,長崎県,佐世保市,宇久町本飯良,,878,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８７８
街区,長崎県,佐世保市,宇久町本飯良,,879,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８７９
街区,長崎県,佐世保市,宇久町本飯良,,1230,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１２３０
街区,長崎県,佐世保市,宇久町本飯良,,1308,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１３０８
街区,長崎県,佐世保市,宇久町本飯良,,885,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８８５
街区,長崎県,佐世保市,宇久町本飯良,,896,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８９６
街区,長崎県,佐世保市,宇久町本飯良,,898,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８９８
街区,長崎県,佐世保市,宇久町本飯良,,899,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８９９
街区,長崎県,佐世保市,宇久町本飯良,,902,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９０２
街区,長崎県,佐世保市,宇久町本飯良,,903,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９０３
街区,長崎県,佐世保市,宇久町本飯良,,1206,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１２０６
街区,長崎県,佐世保市,宇久町本飯良,,876,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８７６
街区,長崎県,佐世保市,宇久町本飯良,,906,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９０６
街区,長崎県,佐世保市,宇久町本飯良,,1064,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１０６４
街区,長崎県,佐世保市,宇久町本飯良,,1199,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１１９９
街区,長崎県,佐世保市,宇久町本飯良,,1999,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良１９９９
街区,長崎県,佐世保市,宇久町本飯良,,867,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８６７
街区,長崎県,佐世保市,宇久町本飯良,,907,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良９０７
街区,長崎県,佐世保市,宇久町本飯良,,861,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８６１
街区,長崎県,佐世保市,宇久町本飯良,,865,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８６５
街区,長崎県,佐世保市,宇久町本飯良,,870,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町本飯良８７０
街区,長崎県,佐世保市,宇久町飯良,,1201,42003,42202,,,佐世保市,平戸諸島,宇久島,長崎県佐世保市宇久町飯良１２０１
